category,book,odds_api_key,capture,live_overround_pct,strategy_role,notes,decision_keep
exchange,Betfair Exchange (EU),betfair_ex_eu,auto,102.31,execution+clv_benchmark,lowest raw margin; ~2-5% commission on net winnings; deepest liquidity,
exchange,Betfair Exchange (UK),betfair_ex_uk,auto,102.36,execution+clv_benchmark,same book different region key,
exchange,Betfair Exchange (AU),betfair_ex_au,auto,102.44,execution,region variant,
exchange,Matchbook,matchbook,auto,103.02,execution,low commission (~1.5-2%); good Liga MX depth,
exchange,Smarkets,smarkets,auto,107.26,execution,2% commission; headline overround higher than Betfair here,
exchange,Prophet X (US),,manual,,execution,US licensed exchange ~1% comm; NOT in Odds API - manual capture,
exchange,Novig / Sporttrade (US),,manual,,execution,US exchanges; NOT in Odds API,
sharp,Pinnacle,pinnacle,auto,105.12,PRIMARY_clv_benchmark,industry sharp reference; use its CLOSE as the CLV yardstick,
sharp,BetOnline,betonlineag,auto,104.63,execution,low-margin sharp-ish US book,
sharp,LowVig,lowvig,auto,104.63,execution,BetOnline sister low-margin book,
sharp,Coolbet,coolbet,auto,105.08,execution,low-margin; posts 1X2+ markets,
sharp,GTBets,gtbets,auto,105.93,reference,low-margin,
sharp,1xBet,onexbet,auto,107.45,execution_early,CSL era execution book; posts early lines,
sharp,SBOBet / 3ET (Asian),,manual,,reference,Asian sharp books; NOT in Odds API,
soft,DraftKings,draftkings,auto,106.7,early_value,US soft book; slower to move = early +CLV source,
soft,FanDuel,fanduel,auto,107.41,early_value,US soft book,
soft,Betsson / Betano / Unibet,betsson,auto,107.25,early_value,Euro soft family; multiple region keys,
soft,William Hill,williamhill,auto,112.93,early_value,high margin; posts opening lines early,
soft,Paddy Power,paddypower,auto,110.92,early_value,high margin soft,
soft,SkyBet,skybet,auto,114.17,early_value,highest margin in slate; slowest mover,
soft_local,Caliente.mx,,manual,,execution_local,DOMINANT Mexican book; NOT in Odds API - manual capture; likely posts earliest Liga MX lines,
soft_local,Codere.mx / Strendus / Betcris,,manual,,execution_local,Mexican-licensed books; NOT in Odds API,
